PairID,Text1,Text1 Translation,Text2,Text2 Translation,Score
TEL-train-00001,"""జమ్మూకాశ్మీర్లో మంచుకొండచరియలు విరిగిపడి గురువారం పెద్ద ప్రమాదం చోటుచేసుకుంది . ఈ ప్రమాదంలో ఐదుగురు మృతి చెందారు . పలువురు గాయపడ్డారు .""","""An avalanche occurred in Jammu and Kashmir on Thursday. Five people were killed and several others injured.""","""జమ్మూకాశ్మీర్లో మంచుకొండచరియలు విరిగిపడిన ఘటనలో ఐదుగురు మృతి చెందారు,పలువురు గాయపడ్డారు .""","""Five killed, many injured in avalanche in Jammu and Kashmir.""",0.88
TEL-train-00002,"""కూతురుపైనే కన్నతండ్రి అత్యాచారానికి పాల్పడిన అమానుష ఘటన కర్నూలు జిల్లా బనగానపల్లెలో గురువారం చోటుచేసుకుంది .""","""The inhumane incident in which the father-in-law raped his daughter took place on Thursday in Banaganapalle of Kurnool district.""","""కన్నతండ్రి కూతురుపై అత్యాచారం చేసిన దారుణ ఘటన గురువారం కర్నూలు జిల్లా బనగానపల్లెలో చోటుచేసుకుంది.""","""The brutal incident of raping a father's daughter took place on Thursday in Banaganapalle of Kurnool district.""",0.87
TEL-train-00003,"""గంగా నదిని కాపాడేందుకు ప్రత్యేక చట్టం తీసుకురావాలనే డిమాండ్తో నిరాహారదీక్ష చేస్తున్న ప్రొఫెసర్ అగర్వాల్కు మద్దతు ప్రకటిస్తున్నట్లు జనసేన అధ్యక్షులు పవన్ కల్యాణ్ తెలిపారు .""","""Jana Sena President Pawan Kalyan said that he is supporting Professor Agarwal who is on a hunger strike demanding a special law to save the Ganga River.""","""గంగానదిని రక్షించేందుకు ప్రత్యేక చట్టం తేవాలని కోరుతూ నిరాహార దీక్ష చేస్తున్న ప్రొ.అగర్వాల్ కు జనసేన అధ్యక్షుడు పవన్ కళ్యాణ్ మద్దతు తెలిపారు.""","""Jana Sena president Pawan Kalyan has supported Prof. Agarwal who is on hunger strike demanding a special law to protect the Ganges.""",0.87
TEL-train-00004,"""కరోనా వైరస్పై అమెరికా ప్రభుత్వానికి వ్యతిరేకంగా జరుగుతున్న ప్రచారం వెనుక రష్యా హస్తం వుందని అమెరికా విదేశాంగశాఖ ఆరోపించింది .""","""The US State Department has accused Russia of being behind the campaign against the US government on the Corona virus.""","""అమెరికా ప్రభుత్వానికి కరోనా వైరస్పై జరుగుతున్న వ్యతిరేక ప్రచారానికి రష్యానే కారణమని అమెరికా విదేశాంగశాఖ తెలియజేసింది.""","""The US State Department has informed the US government that Russia is responsible for the anti-coronavirus campaign.""",0.84
TEL-train-00005,"""కరోనా వైరస్ ( కొవిడ్ - 19 ) మనుషులపైనే కాదు జంతువులపై కూడా తన పంజాను విసురుతుంది .""","""Corona virus (Covid-19) not only affects humans but also animals.""","""కరోనావైరస్ (కోవిడ్-19) మానవులకు మరియు జంతువులకు హాని చేస్తుంది.""","""Coronavirus (Covid-19) harms humans and animals.""",0.84
TEL-train-00006,"""కరోనా నియంత్రణకు రూ.5వేల కోట్లు: సీఎం కేసీఆర్""","""Rs. 5 thousand crores for Corona control: CM KCR""","""కరోనా వైరస్ ను నియంత్రించేందుకు అవసరమైతే రూ.5వేల కోట్లయిన ఖర్చు చేస్తామని ముఖ్యమంత్రి కే చంద్రశేఖరరావు ప్రకటించారు.""","""Chief Minister K Chandrasekhara Rao has announced that Rs. 5 thousand crores will be spent if necessary to control the corona virus.""",0.84
TEL-train-00007,"""ఇండియన్ ప్రీమియర్ లీగ్ – 2018 విజయవంతంగా కొనసాగుతోంది . ఇప్పటికే చెన్నై సూపర్ కింగ్స్ ఫైనల్ బెర్త్ను కన్ఫాం చేసుకుంది .""","""Indian Premier League – 2018 continues successfully. Chennai Super Kings have already confirmed their final berth.""","""ఇండియన్ ప్రీమియర్ లీగ్ – 2018 హోరాహోరిగా సాగుతుంది.చెన్నై సూపర్ కింగ్స్ తుది పోరుకి చేరుకుంది.""","""Indian Premier League – 2018 is going to be a hot one.Chennai Super Kings reach the final.""",0.84
TEL-train-00008,"""ఢిల్లీ మెట్రో రైల్వే ట్రాక్పై ఒక నెమలి పడి ఉండటంతో సర్వీసులు 30 నిమిషాలపాటు ఆలశ్యంగా నడిచాయి .""","""Delhi Metro Railway services were delayed by 30 minutes after a peacock was lying on the track.""","""ఢిల్లీ మెట్రో రైల్వే ట్రాక్పైఫై నెమలి పడి ఉండటంతో సర్వీసులాన్ని దాదాపు 30 నిమిషాలపాటు ఆలశ్యంగా నడవడం జరిగింది.""","""Delhi Metro Railway's Trakify Peacock was lying down causing delays in running services by about 30 minutes.""",0.84
TEL-train-00009,"""గోవా సిఎం ఆరోగ్యంపై వదంతులను కొట్టివేసిన లీలావతి ఆసుపత్రి""","""Lilavati Hospital dismisses rumors on Goa CM's health""","""ముంబై : గోవా ముఖ్యమంత్రి మనోహర్ పారికర్ ఆరోగ్యంపై వెల్లువెత్తిన వదంతులను ముంబైలోని లీలావతి ఆసుపత్రి యాజమాన్యం కొట్టివేసింది.""","""Mumbai: Rumors about Goa Chief Minister Manohar Parrikar's health have been rubbished by the Lilavati Hospital management in Mumbai.""",0.84
TEL-train-00010,"""కోడెల శివప్రసాదరావును అవమానించింది చంద్రబాబేనని మంత్రి కొడాలి నాని అన్నారు . అమరావతిలో ఆయన మీడియాతో మాట్లాడుతూ కోడెల ఆత్మహత్య దురదృష్టకరమన్నారు .""","""Minister Kodali Nani said that it was Chandrababa who insulted Kodela Shivprasada Rao. Speaking to the media in Amaravati, Kodela's suicide was unfortunate.""","""మంత్రి కొడాలి నాని చంద్రబాబే కోడెల శివప్రసాదరావును అవమానించారన్నారు. కోడెల ఆత్మహత్య దురదృష్టకరమని అమరావతి మీడియా తో అన్నారు.""","""Minister Kodali said Nani Chandrababe insulted Kodela Shivprasada Rao. He told Amaravati media that Kodela's suicide was unfortunate.""",0.83
