PairID,Text1,Text1 Translation,Text2,Text2 Translation,Score
ARQ-train-0001,يعطيك الصحة ام وليد جربتها ذركا راني ناكل فيها ام شحال بنينة,May God bless you, يعطيك الصحة او وليد جربت ليوم مسمن جا روعة انا ام ريان متتبعة وفية," May God bless you with good health. I tried it for a fattening day. It was amazing. I am Umm Rayyan, a loyal follower",0.62
ARQ-train-0002,خالتي خيرة وليتي تعرفي السلاح,"My aunt is good, and I wish you knew how to use weapons", كون جيتو تحوسو على خدمة, Get a service,0.44
ARQ-train-0003,قلت له نقول لك حاجة ادي كونجي و عيطلي، كي دا كنجي و عيطلي،  قلت له في لامان يا خويا الطمع ماشي مليح,"I told him we will tell you something about him and his family. I told him that there is no safety, my brother. Greed is okay.", الميدسان التالت تاع العينين، رحت نداوي عنده قلت له يا دكتور عندي لوجيسيال و كدا حكيت له ، قالي ننصحك ؟ أخطيك," The third medicine for the eyes, I went to get treatment with him, I told him, Doctor, I have a Logistical, and I told him this, and he said, should we advise you? I miss you",0.44
ARQ-train-0004,كلام نعيمة صح,Naima's words are true, المغرب والجزائر خاوة خاوة, Morocco and Algeria are brothers and sisters,0.19
ARQ-train-0005,والله ترومبورسي على بالك كون ايفيقو ترمبورسي سوارد,"I swear to God, it's a trumpery, mind you, if Ivigo is a trumpurous soard", لا لا أكي تخدمي أبنتي أكي خدامة," No, no, you can serve my daughter as a servant",0.5
ARQ-train-0006,واحنا على بالنا باللي ما كانش في الدارجة,We are on our minds about what was not in the stock market, هذه عليها ڤصرة ، بالصح بالهدرة ماشي بالكتيبة," This one has a button on it, it's true that it's okay, it's okay with the battalion",0.5
ARQ-train-0007,انفورماتيك,Informatic, وعلاه, And above,0.28
ARQ-train-0008,ايه  الطارف,What a funny thing, و ﯾجوزو يومين, They are allowed for two days,0.44
ARQ-train-0009,اخطيني أ مختار روح عليا,"Make me a chosen one, a higher soul", حبيتي ولا كرهتي نداها نداها," Whether you love or hate, he called her, he called her",0.34
ARQ-train-0010,تقدري تكتبي ليدي ماشي شرط كلمة بكلمة,"You can write to me, word for word", ايماجيني هكا و ما يعطيوكش لانوت, Imagine me like this and they won't give you anything,0.41
ARQ-train-0011,شمسو راك وصلتنا صوتنا يعطيك الصحة,"Shamso, we have received our voice, may God grant you good health", لي مزال يتفرج الفيديو لضركا يخبط جام, Who is still watching the video of Dharka hitting Jam?,0.53
ARQ-train-0012,و تاني كاين سكايب ، ماتخافيش,"And again, it's Skype, don't be afraid", صح رايحين تكونو كل يوم معايا, You are going to be with me every day,0.44
ARQ-train-0013,نعرف نرقد أنا برك هدا واش ندير,We know how to lie down and what to do, أرقد و تشوف كي يجيك مني الكف, Lie down and watch until my palm comes to you,0.72
ARQ-train-0014,لالا أملاك الدولة,"No, state property", ما عطاوكش الكوﻧڢوكاسيون, They didn't give you the convocation,0.34
ARQ-train-0015,يعني يتدوق الفن ، هادي هي,"I mean, art excels, that's what it is", العسل عنده ودنين هادي ما نعرفهاش," He has honey, and we don't know her",0.41
ARQ-train-0016,نجيب الدوا,Najib Al-Dawa, مشها محلولة, It is not solved,0.25
ARQ-train-0017,نانا اليوم تقتلني,Nana is killing me today, على جال الدراهم, On the gal of dirhams,0.53
ARQ-train-0018,الكاييي ما هزيتوش خلاه,I didn't shake anything like that, رايحة نجيب ڤاطو نجيبلك," You are going to get Vato, we will bring you",0.34
ARQ-train-0019,وي دزاير كبيرة ياسر وفيها غاشي كبير,There is a big Yasser and there is a big gasher in it, درت ساعة باش ترجمت هاد الجملة, I spent an hour translating this sentence,0.22
ARQ-train-0020,ﭬﻌﺖ مع الهادي برا,I sold with Al-Hadi abroad, يخساب خو مريم سارڢور, Yakhasab is the brother of Maryam Sarvoor,0.19
ARQ-train-0021,بالاك يكلخولك,Balak is telling you, خممت فيها, I guessed it,0.38
ARQ-train-0022,و أنيس من ساكا,And Anis from Saka, قالتلي علابالك واش يعيطلنا, She told me what do you think is holding us back?,0.25
ARQ-train-0023,ديري ڢيرڤول مور كلمة يضاربوا,"Dear people, there are many different words", على خاطر مهمة في الترجمة, At the risk of a translation mission,0.44
ARQ-train-0024,ڤالي اتام تاعك مليح و كلش و غدوة نڤول لك اسكو نحكمك ولا لا,"I told you that your work is fine and clean, and tomorrow we will tell you whether to be quiet or not.", كان النهار اداكا لربعا ڤالي غدوة نڤول لك آه ولا لا و لا كان لا وعلاه," The day was a quarter ago, and in the morning we say to you, “Oh, no, no, no, no, no” and “allah”",0.84
ARQ-train-0025,ما نعرف بالصح على بالك بلي كاين لونتروتيان و صعيب بزاف,"We don't know what's right, mind you, there's a lot of people who are very difficult to find", كي تدخلي تلقاي ناس بزاف كل واحد عنده ليتكنيك باش تتعاملي معاه," When you enter, you will find a lot of people, each one of whom has the skills to deal with",0.53
ARQ-train-0026,كيما هداك لي حكالنا عليه عبدو لي عنده زعكة صغيرة,"As this is what Abdo told us about, he has a small zakat", هداك ماراهوش سلالة أصيلة كيما نقولو راه هجين تاع زوج سلالات," This is not a purebred breed, as we call it a hybrid of a pair of breeds",0.59
