PairID,Text1,Text1 Translation,Text2,Text2 Translation,Score
hau_train_00001,Haka ya furta a cikin jawabin sa na murnar cikar Najeriya shekaru 61 da samun ‘yanci.,He said the same in his speech celebrating Nigeria's 61st year of independence.,Ya yi wannan iƙirarin e a cikin jawabin sa na murnar cikar Najeriya 61 da samun ‘yanci a ranar Juma’a.,He made this claim in his speech to celebrate Nigeria's 61st anniversary of independence on Friday.,0.94
hau_train_00002,"RASHIN TSARO: ‘Yan bindiga sun arce da Kwamishinan Hukumar Ƙidaya ta Ƙasa, sun nemi a biya su Naira miliyan 500","INSECURITY: The bandits appealed to the Commissioner of the National Census Commission, they asked for a payment of 500 million naira","Kotu ta nemi Bawa ya buga wasiƙar neman afuwar Bello a wasu jaridun Najeriya, sannan kuma ya biya shi diyyar naira miliyan 10.","The court asked Bawa to publish Bello's apology letter in some Nigerian newspapers, and also to pay him 10 million naira compensation.",0.29
hau_train_00003,"Amma ana saura kwana ɗaya sai ya kira ɗan takarar mataimakin gwamna ya ce ba zai halarta ba, don haka a fasa kawai.","But with one day left, he called the deputy governor candidate and said that he will not attend, so just break it up.",Gwamna Okowa dai shi ne ɗan takarar mataimakin shugaban ƙasa na Atiku Abubakar a zaɓen 2023.,Governor Okowa is the vice presidential candidate of Atiku Abubakar in the 2023 election.,0.15
hau_train_00004,"Buhari ya tashi zuwa Saudiyya, zai yi Umra ta ƙarshe a matsayin sa na shugaban kasa","Buhari has left for Saudi Arabia, he will perform his last Umrah as the president","Wannan ne karo na farko da babu sunan Muhammadu Buhari a cikin ‘yan takarar shugaban ƙasa, tun daga 2003 har zuwa yau tsawon shekaru 20.","This is the first time that there is no name of Muhammadu Buhari in the presidential candidates, since 2003 until today for 20 years.",0.31
hau_train_00005,Gusau ya ce masu son kawo tashin hankali a ƙasa kaɗai za su iya watsa waɗannan ƙarairayi don cimma wani buri na su na siyasa.,Gusau said that only those who want to bring violence to the country can spread these lies to achieve their political goals.,"“Amma saboda ba na son tayar da fitinar da za ta hargitsa PDP baki ɗaya, sai na haƙura don a zauna lafiya.","""But because I don't want to stir up trouble that will disrupt the PDP as a whole, I have to be patient in order to live peacefully.",0.15
hau_train_00006,"A Abuja kuwa, Jam’iyyar Peter Obi ta ragargaji su O’o da O’o a rumfunan zaɓen kewayen Fadar Shugaban Ƙasa.","In Abuja, Peter Obi's party defeated O'o and O'o in the polling booths around the Presidential Palace.",Peter Obi ya lashe yawancin rumfunan zaɓen kewaye da fadar ta Shugaban Ƙasa a Abuja.,Peter Obi won most of the polling stations around the Presidential Palace in Abuja.,0.25
hau_train_00007,"Shugaban karamar hukumar Gulani Ilu Dayyabu ya ce ambaliyar ta ci gidaje da shaguna sama da 100 a kauyukan Kukawa, Bularafa da Bulunkutu.","Gulani Local Government Chairman Ilu Dayyabu said the flood has destroyed more than 100 houses and shops in the villages of Kukawa, Bularafa and Bulunkutu.",Jam’iyyar PDP ce ta lashe kujerar shugaban karamar hukumar Kajuru a zaben Kaduna da ka yi ranar Asabar.,The PDP won the seat of Kajuru local government chairman in the Kaduna election held on Saturday.,0.05
hau_train_00008,Bayan haka kakakin rundunar ‘yan sandan jihar Mohammed Shehu ya tabbatar yin garkuwa da daliban kwalejin ranar Laraba da safe.,"After that, the spokesman of the state police force, Mohammed Shehu, confirmed the kidnapping of the students of the college on Wednesday morning.",Kakakin rundunar ‘yan sandan jihar Abimbola Oyeyemi ya tabbatar cewa mutumin na fama da matsalar tabuwar hankali.,"The spokesperson of the state police force, Abimbola Oyeyemi confirmed that the man is suffering from a mental disorder.",0.12
hau_train_00009,"Shi ma ɗan takarar gwamna aka yi masa ƙarin geji, daga naira miliyan 200 zuwa har naira biliyan 1.","The gubernatorial candidate was also given more money, from 200 million naira to 1 billion naira.",Shi kuma ɗan takarar majalisar tarayya daga naira miliyan 10 zuwa naira miliyan 70.,He is a candidate for the federal parliament from 10 million naira to 70 million naira.,0.75
hau_train_00010,"Har yanzu dai ya na tsare a Hedikwatar DSS tun cikin watan Yuni, 2021, bayan kamo shi da aka yi daga ƙasar Kenya.","He is still detained at the DSS Headquarters since June, 2021, after his arrest from Kenya.","An naɗa Buni shugabancin kwamitin tafiyar da APC na mutum 13, a cikin watan Yuni, 2020, bayan an wancakalar da shugabancin Adams Oshiomhole.","Buni was appointed the chairman of the 13-man APC steering committee in June, 2020, after the leadership of Adams Oshiomhole was replaced.",0.3
